id,Location,CommAddress,Address,City,Zip code,State,Dates,Hours,latitude,longitude
1,Registrar of Voters (Near the Flagpole),"1555 Berger Drive, San Jose, CA 95112",1555 Berger Drive,San Jose,95112,CA,10/7/24-11/05/2024,24 hours,37.3746706,-121.8964087
2,Campbell City Hall (Outside Drop Box),"70 North First Street, Campbell, CA 95008",70 North First Street,Campbell,95008,CA,10/7/24-11/05/2024,24 hours,37.28842555,-121.9441054
3,Westmont High School (Outside Drop Box),"4805 Westmont Avenue, Campbell, CA 95008",4805 Westmont Avenue,Campbell,95008,CA,10/7/24-11/05/2024,24 hours,37.27180325,-121.9858499
4,Cupertino City Hall  (Outside Drop Box),"10300 Torre Avenue, Cupertino, CA 95014",10300 Torre Avenue,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours,37.31895035,-122.0287409
5,Cupertino Library (Outside Drop Box),"10800 Torre Avenue, Cupertino, CA 95014",10800 Torre Avenue,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours,37.3181265,-122.0289848
6,De Anza College (RSS Building @ Parking Lot A1),"21250 Stevens Creek Boulevard, Cupertino, CA 95014",21250 Stevens Creek Boulevard,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours,37.322366,-122.0464916
7,Quinlan Community Center (Outside Drop Box),"10185 North Stelling Road, Cupertino, CA 95014",10185 North Stelling Road,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours,37.32584745,-122.0424025
8,Gavilan College (@ Student Center),"5055 Santa Teresa Boulevard, Gilroy, CA 95020",5055 Santa Teresa Boulevard,Gilroy,95020,CA,10/7/24-11/05/2024,24 hours,36.9720652,-121.5684391
9,Gilroy City Hall (Outside Drop Box),"7351 Rosanna Street, Gilroy, CA 95020",7351 Rosanna Street,Gilroy,95020,CA,10/7/24-11/05/2024,24 hours,37.00492177,-121.572064
10,Rod Kelley Elementary School (Outside Drop Box),"8755 Kern Avenue, Gilroy, CA 95020",8755 Kern Avenue,Gilroy,95020,CA,10/7/24-11/05/2024,24 hours,37.0212382,-121.5929015
11,Foothill College (@ Lot 8 Student Drop Off),"12345 El Monte Road, Los Altos Hills, CA 94022",12345 El Monte Road,Los Altos Hills,94022,CA,10/7/24-11/05/2024,24 hours,37.3617114,-122.1282717
12,Los Altos Hills Town Hall  (Outside Drop Box),"26379 Fremont Road, Los Altos Hills, CA 94022",26379 Fremont Road,Los Altos Hills,94022,CA,10/7/24-11/05/2024,24 hours,37.3837144,-122.13872
13,Los Altos City Hall  (Outside Drop Box),"1 North San Antonio Road, Los Altos, CA 94022",1 North San Antonio Road,Los Altos,94022,CA,10/7/24-11/05/2024,24 hours,37.3816947,-122.1136895
14,Los Altos Library (Outside Drop Box),"13 South San Antonio Road, Los Altos, CA 94022",13 South San Antonio Road,Los Altos,94022,CA,10/7/24-11/05/2024,24 hours,37.38085715,-122.1132823
15,Woodland Branch Library (Outside Drop Box),"1975 Grant Road, Los Altos, CA 94024",1975 Grant Road,Los Altos,94024,CA,10/7/24-11/05/2024,24 hours,37.3442773,-122.0754769
16,Los Gatos Public Library (Outside Drop Box),"100 Villa Avenue, Los Gatos, CA 95030",100 Villa Avenue,Los Gatos,95030,CA,10/7/24-11/05/2024,24 hours,37.2202016,-121.9782375
