id,Location,CommAddress,Address,City,Zip code,State,Dates,Hours
1,Registrar of Voters (Near the Flagpole),"1555 Berger Drive, San Jose, CA 95112",1555 Berger Drive,San Jose,95112,CA,10/7/24-11/05/2024,24 hours
2,Campbell City Hall (Outside Drop Box),"70 North First Street, Campbell, CA 95008",70 North First Street,Campbell,95008,CA,10/7/24-11/05/2024,24 hours
3,Westmont High School (Outside Drop Box),"4805 Westmont Avenue, Campbell, CA 95008",4805 Westmont Avenue,Campbell,95008,CA,10/7/24-11/05/2024,24 hours
4,Cupertino City Hall  (Outside Drop Box),"10300 Torre Avenue, Cupertino, CA 95014",10300 Torre Avenue,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours
5,Cupertino Library (Outside Drop Box),"10800 Torre Avenue, Cupertino, CA 95014",10800 Torre Avenue,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours
6,De Anza College (RSS Building @ Parking Lot A1),"21250 Stevens Creek Boulevard, Cupertino, CA 95014",21250 Stevens Creek Boulevard,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours
7,Quinlan Community Center (Outside Drop Box),"10185 North Stelling Road, Cupertino, CA 95014",10185 North Stelling Road,Cupertino,95014,CA,10/7/24-11/05/2024,24 hours
8,Gavilan College (@ Student Center),"5055 Santa Teresa Boulevard, Gilroy, CA 95020",5055 Santa Teresa Boulevard,Gilroy,95020,CA,10/7/24-11/05/2024,24 hours
9,Gilroy City Hall (Outside Drop Box),"7351 Rosanna Street, Gilroy, CA 95020",7351 Rosanna Street,Gilroy,95020,CA,10/7/24-11/05/2024,24 hours
10,Rod Kelley Elementary School (Outside Drop Box),"8755 Kern Avenue, Gilroy, CA 95020",8755 Kern Avenue,Gilroy,95020,CA,10/7/24-11/05/2024,24 hours
11,Foothill College (@ Lot 8 Student Drop Off),"12345 El Monte Road, Los Altos Hills, CA 94022",12345 El Monte Road,Los Altos Hills,94022,CA,10/7/24-11/05/2024,24 hours
12,Los Altos Hills Town Hall  (Outside Drop Box),"26379 Fremont Road, Los Altos Hills, CA 94022",26379 Fremont Road,Los Altos Hills,94022,CA,10/7/24-11/05/2024,24 hours
13,Los Altos City Hall  (Outside Drop Box),"1 North San Antonio Road, Los Altos, CA 94022",1 North San Antonio Road,Los Altos,94022,CA,10/7/24-11/05/2024,24 hours
14,Los Altos Library (Outside Drop Box),"13 South San Antonio Road, Los Altos, CA 94022",13 South San Antonio Road,Los Altos,94022,CA,10/7/24-11/05/2024,24 hours
15,Woodland Branch Library (Outside Drop Box),"1975 Grant Road, Los Altos, CA 94024",1975 Grant Road,Los Altos,94024,CA,10/7/24-11/05/2024,24 hours
16,Los Gatos Public Library (Outside Drop Box),"100 Villa Avenue, Los Gatos, CA 95030",100 Villa Avenue,Los Gatos,95030,CA,10/7/24-11/05/2024,24 hours
17,Los Gatos Town Hall (Outside Drop Box),"110 East Main Street, Los Gatos, CA 95030",110 East Main Street,Los Gatos,95030,CA,10/7/24-11/05/2024,24 hours
18,Milpitas City Hall (Outside Drop Box),"455 East Calaveras Boulevard, Milpitas, CA 95035",455 East Calaveras Boulevard,Milpitas,95035,CA,10/7/24-11/05/2024,24 hours
19,Milpitas Library (Outside Drop Box),"160 North Main Street, Milpitas, CA 95035",160 North Main Street,Milpitas,95035,CA,10/7/24-11/05/2024,24 hours
20,Milpitas Unified School District,"1331 East Calaveras Boulevard, Milpitas, CA 95035",1331 East Calaveras Boulevard,Milpitas,95035,CA,10/7/24-11/05/2024,24 hours
21,Monte Sereno City Hall (Outside Drop Box),"18041 Saratoga-Los Gatos Road, Monte Sereno, CA 95030",18041 Saratoga-Los Gatos Road,Monte Sereno,95030,CA,10/7/24-11/05/2024,24 hours
22,Morgan Hill Unified School District (Outside Drop Box),"15600 Concord Circle, Morgan Hill, CA 95037",15600 Concord Circle,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours
23,Morgan Hill City Hall  (Outside Drop Box),"17575 Peak Avenue, Morgan Hill, CA 95037",17575 Peak Avenue,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours
24,Morgan Hill Library (Outside Drop Box),"660 West Main Avenue, Morgan Hill, CA 95037",660 West Main Avenue,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours
25,Nordstrom Elementary (Outside Drop Box),"1425 East Dunne Avenue, Morgan Hill, CA 95037",1425 East Dunne Avenue,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours
26,VTA Park and Ride - Morgan hill (Outside Drop Box),"17300 Depot Street, Morgan Hill, CA 95037",17300 Depot Street,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours
27,Mountain View City Hall  (Outside Drop Box),"500 Castro Street, Mountain View, CA 94041",500 Castro Street,Mountain View,94041,CA,10/7/24-11/05/2024,24 hours
28,Mountain View Public Library (Outside Drop Box),"585 Franklin Street, Mountain View, CA 94041",585 Franklin Street,Mountain View,94041,CA,10/7/24-11/05/2024,24 hours
29,Mountain View Public Works (Sand Bag Entrance - Outside Drop Box),"234 North Whisman Road, Mountain View, CA 94043",234 North Whisman Road,Mountain View,94043,CA,10/7/24-11/05/2024,24 hours
